season,match_round,player_name,player_team,cc_votes
2017,1,Rory Laird,Adelaide,10
2017,1,Charlie Cameron,Adelaide,6
2017,1,Richard Douglas,Adelaide,4
2017,1,Rory Atkins,Adelaide,4
2017,1,Matt Crouch,Adelaide,3
2017,1,Eddie Betts,Adelaide,2
2017,1,Josh Jenkins,Adelaide,1
2017,1,David Mackay,Adelaide,0
2017,1,Andy Otten,Adelaide,0
2017,1,Sam Jacobs,Adelaide,0
2017,1,Rory Sloane,Adelaide,0
2017,1,Tom Lynch,Adelaide,0
2017,1,Brodie Smith,Adelaide,0
2017,1,Daniel Talia,Adelaide,0
2017,1,Curtly Hampton,Adelaide,0
2017,1,Luke Brown,Adelaide,0
2017,1,Troy Menzel,Adelaide,0
2017,1,Kyle Hartigan,Adelaide,0
2017,1,Jake Kelly,Adelaide,0
2017,1,Riley Knight,Adelaide,0
2017,1,Mitch McGovern,Adelaide,0
2017,1,Wayne Milera,Adelaide,0
2017,1,Dayne Beams,Brisbane Lions,10
2017,1,Tom Rockliff,Brisbane Lions,5
2017,1,Harris Andrews,Brisbane Lions,3
2017,1,Dayne Zorko,Brisbane Lions,1
2017,1,Stefan Martin,Brisbane Lions,0
2017,1,Mitch Robinson,Brisbane Lions,0
2017,1,Daniel Rich,Brisbane Lions,0
2017,1,Ryan Bastinac,Brisbane Lions,0
2017,1,Ryan Harwood,Brisbane Lions,0
2017,1,Rohan Bewick,Brisbane Lions,0
2017,1,Ryan Lester,Brisbane Lions,0
2017,1,Tom Bell,Brisbane Lions,0
2017,1,Sam Mayes,Brisbane Lions,0
2017,1,Michael Close,Brisbane Lions,0
2017,1,Lewis Taylor,Brisbane Lions,0
2017,1,Tom Cutler,Brisbane Lions,0
2017,1,Nick Robertson,Brisbane Lions,0
2017,1,Darcy Gardiner,Brisbane Lions,0
2017,1,Daniel McStay,Brisbane Lions,0
2017,1,Jake Barrett,Brisbane Lions,0
2017,1,Ben Keays,Brisbane Lions,0
2017,1,Eric Hipwood,Brisbane Lions,0
2017,1,Matthew Kreuzer,Carlton,3
2017,1,Marc Murphy,Carlton,3
2017,1,Kade Simpson,Carlton,0
2017,1,Dale Thomas,Carlton,0
2017,1,Bryce Gibbs,Carlton,0
2017,1,Dennis Armfield,Carlton,0
2017,1,Simon White,Carlton,0
2017,1,Ed Curnow,Carlton,0
2017,1,Matthew Wright,Carlton,0
2017,1,Billie Smedts,Carlton,0
2017,1,Levi Casboult,Carlton,0
2017,1,Lachie Plowman,Carlton,0
2017,1,Sam Rowe,Carlton,0
2017,1,Sam Docherty,Carlton,0
2017,1,Patrick Cripps,Carlton,0
2017,1,Caleb Marchbank,Carlton,0
2017,1,Jacob Weitering,Carlton,0
2017,1,Charlie Curnow,Carlton,0
2017,1,Jack Silvagni,Carlton,0
2017,1,Harrison Macreadie,Carlton,0
2017,1,Sam Petrevski-Seton,Carlton,0
2017,1,Jarrod Pickett,Carlton,0
2017,1,Scott Pendlebury,Collingwood,9
2017,1,Steele Sidebottom,Collingwood,3
2017,1,Travis Varcoe,Collingwood,0
2017,1,Tyson Goldsack,Collingwood,0
2017,1,Ben Reid,Collingwood,0
2017,1,Chris Mayne,Collingwood,0
2017,1,Jesse White,Collingwood,0
2017,1,Jarryd Blair,Collingwood,0
2017,1,Jeremy Howe,Collingwood,0
2017,1,Alex Fasolo,Collingwood,0
2017,1,Will Hoskin-Elliott,Collingwood,0
2017,1,Adam Treloar,Collingwood,0
2017,1,Jack Crisp,Collingwood,0
2017,1,Taylor Adams,Collingwood,0
2017,1,Brodie Grundy,Collingwood,0
2017,1,Jackson Ramsay,Collingwood,0
2017,1,Henry Schade,Collingwood,0
2017,1,Brayden Maynard,Collingwood,0
2017,1,Darcy Moore,Collingwood,0
2017,1,Mason Cox,Collingwood,0
2017,1,Josh Smith,Collingwood,0
2017,1,Tom Phillips,Collingwood,0
2017,1,Dyson Heppell,Essendon,9
2017,1,Zach Merrett,Essendon,9
2017,1,Orazio Fantasia,Essendon,5
2017,1,Brendon Goddard,Essendon,1
2017,1,Mark Baguley,Essendon,1
2017,1,James Kelly,Essendon,0
2017,1,Jobe Watson,Essendon,0
2017,1,Brent Stanton,Essendon,0
2017,1,Cale Hooker,Essendon,0
2017,1,Michael Hurley,Essendon,0
2017,1,David Zaharakis,Essendon,0
